,Poll End Date,Source,,Party,,NATIONAL,By State,NEW SOUTH WALES,VICTORIA,QUEENSLAND,SOUTH AUSTRALIA/NT,WESTERN AUSTRALIA,By Geographic,CAPITALS,OTHERS,By Gender,MALE,FEMALE,By Age Group (1),18-24 ,25-39,40-54,55+,By Age Group (2),18-34,35-49,50+,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,GRN,,14,,14,16,11,9,16,,15,12,,13,15,,23,16,16,7,,,,,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,OTH,,4,,4,4,3,0,6,,3,4,,5,3,,4,5,4,4,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,IND,,6,,8,6,7,3,3,,6,8,,8,5,,6,7,7,5,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,FFP,,2,,1,2,3,4,3,,2,2,,3,2,,4,4,1,1,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,COAL,,47,,49,40,53,43,53,,45,50,,50,45,,36,42,45,58,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,COAL,,45,,45,44,47,39,48,,44,46,,46,43,,,,,,,37,45,50,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,ALP,,27,,26,32,22,35,25,,30,23,,24,31,,29,27,28,27,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,GRN,,13,,12,16,10,12,14,,13,12,,12,14,,18,14,15,8,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,OTH,,4,,4,4,5,3,3,,4,5,,4,4,,7,5,5,1,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,ALP,,32,,31,34,30,34,31,,32,32,,30,34,,,,,,,33,31,32,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,GRN,,11,,11,13,9,11,10,,13,9,,11,12,,,,,,,17,13,6,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,OTH,,12,,13,9,14,16,11,,11,13,,13,11,,,,,,,13,11,12,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,IND,,6,,7,4,9,6,4,,4,8,,7,5,,6,5,7,6,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,FFP,,2,,1,3,3,4,1,,1,3,,1,2,,3,2,3,1,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,COAL,,44,,42,45,42,48,51,,45,43,,44,44,,30,42,45,51,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,OTH,,3,,3,2,5,2,1,,2,3,,2,3,,3,3,3,2,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,ALP,,34,,35,31,31,34,34,,34,32,,33,34,,40,32,31,34,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,GRN,,12,,13,15,11,7,7,,13,10,,12,12,,19,16,11,6,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,IND,,5,,8,3,6,3,3,,4,7,,5,5,,2,6,5,6,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,FFP,,1,,1,1,2,1,3,,2,1,,1,1,,1,2,1,1,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,COAL,,45,,46,39,50,44,50,,44,46,,45,45,,40,39,46,50,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,OTH,,3,,2,2,3,6,3,,2,3,,3,2,,1,4,3,1,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,ALP,,33,,33,37,27,34,31,,34,31,,32,34,,37,29,35,33,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,GRN,,13,,11,18,12,12,11,,14,12,,13,13,,19,19,10,9,,,,,
43_ALP_JG_LNC_TA,31-Dec-11,Newspoll,,COAL,,46,,48,44,48,40,49,,46,47,,49,43,,,,,,,41,43,52,
43_ALP_JG_LNC_TA,31-Dec-11,Newspoll,,OTH,,11,,11,8,14,16,9,,10,14,,12,11,,,,,,,10,13,11,
43_ALP_JG_LNC_TA,31-Dec-11,Newspoll,,ALP,,31,,28,35,29,33,29,,31,29,,29,32,,,,,,,29,31,31,
43_ALP_JG_LNC_TA,31-Dec-11,Newspoll,,GRN,,12,,13,13,9,11,13,,13,10,,10,14,,,,,,,20,13,6,
43_ALP_JG_LNC_TA,10-Dec-11,Nielsen,,IND,,5,,6,4,6,8,5,,3,8,,6,5,,3,7,6,5,,,,,
43_ALP_JG_LNC_TA,10-Dec-11,Nielsen,,FFP,,2,,1,3,2,3,1,,2,2,,3,1,,3,2,3,<0.5,,,,,
43_ALP_JG_LNC_TA,10-Dec-11,Nielsen,,COAL,,49,,49,44,49,47,55,,48,49,,51,46,,40,43,47,58,,,,,
43_ALP_JG_LNC_TA,10-Dec-11,Nielsen,,OTH,,4,,5,3,5,4,4,,4,5,,4,5,,6,5,3,3,,,,,
43_ALP_JG_LNC_TA,10-Dec-11,Nielsen,,ALP,,29,,28,32,31,29,25,,31,26,,28,31,,31,30,30,28,,,,,
43_ALP_JG_LNC_TA,10-Dec-11,Nielsen,,GRN,,11,,11,14,7,9,9,,11,9,,9,12,,16,13,12,5,,,,,
43_ALP_JG_LNC_TA,12-Nov-11,Nielsen,,IND,,6,,6,4,6,8,6,,4,8,,8,3,,3,7,6,5,,,,,
43_ALP_JG_LNC_TA,12-Nov-11,Nielsen,,FFP,,2,,1,1,2,5,2,,1,2,,1,2,,1,3,2,1,,,,,
43_ALP_JG_LNC_TA,12-Nov-11,Nielsen,,COAL,,45,,45,44,48,37,48,,45,45,,45,46,,29,44,46,52,,,,,
43_ALP_JG_LNC_TA,12-Nov-11,Nielsen,,OTH,,4,,4,6,6,2,2,,3,5,,5,4,,7,6,4,2,,,,,
43_ALP_JG_LNC_TA,12-Nov-11,Nielsen,,ALP,,30,,29,29,31,37,26,,30,29,,28,31,,35,25,31,31,,,,,
43_ALP_JG_LNC_TA,12-Nov-11,Nielsen,,GRN,,14,,14,16,8,11,16,,16,10,,13,14,,27,16,10,10,,,,,
43_ALP_JG_LNC_TA,15-Oct-11,Nielsen,,IND,,5,,5,3,7,8,5,,5,7,,5,6,,5,5,6,6,,,,,
43_ALP_JG_LNC_TA,15-Oct-11,Nielsen,,FFP,,1,,1,1,3,3,0,,1,2,,2,1,,2,2,1,1,,,,,
43_ALP_JG_LNC_TA,15-Oct-11,Nielsen,,COAL,,48,,45,47,53,41,54,,45,51,,48,48,,39,44,48,54,,,,,
43_ALP_JG_LNC_TA,15-Oct-11,Nielsen,,OTH,,4,,5,5,3,3,4,,4,4,,5,3,,5,7,2,3,,,,,
43_ALP_JG_LNC_TA,15-Oct-11,Nielsen,,ALP,,30,,32,34,26,32,23,,31,27,,29,31,,32,27,31,30,,,,,
43_ALP_JG_LNC_TA,15-Oct-11,Nielsen,,GRN,,12,,12,11,8,14,13,,13,9,,12,11,,17,15,12,6,,,,,
43_ALP_JG_LNC_TA,30-Sep-11,Newspoll,,COAL,,48,,50,44,50,43,50,,46,52,,50,46,,,,,,,41,46,54,
43_ALP_JG_LNC_TA,30-Sep-11,Newspoll,,OTH,,12,,11,9,14,15,13,,11,13,,12,12,,,,,,,12,13,11,
43_ALP_JG_LNC_TA,30-Sep-11,Newspoll,,ALP,,27,,26,32,26,28,24,,29,25,,27,28,,,,,,,27,26,29,
43_ALP_JG_LNC_TA,30-Sep-11,Newspoll,,GRN,,13,,13,15,10,14,13,,14,10,,11,14,,,,,,,20,15,6,
43_ALP_JG_LNC_TA,10-Sep-11,Nielsen,,IND,,6,,8,2,8,8,4,,6,7,,8,5,,6,7,7,5,,,,,
43_ALP_JG_LNC_TA,10-Sep-11,Nielsen,,FFP,,2,,2,3,3,2,2,,3,2,,2,3,,3,3,2,2,,,,,
43_ALP_JG_LNC_TA,10-Sep-11,Nielsen,,COAL,,48,,50,45,50,48,50,,46,50,,49,47,,43,44,44,56,,,,,
43_ALP_JG_LNC_TA,10-Sep-11,Nielsen,,OTH,,4,,3,3,5,6,3,,4,3,,5,3,,5,3,6,2,,,,,
43_ALP_JG_LNC_TA,10-Sep-11,Nielsen,,ALP,,27,,27,31,25,28,23,,27,28,,25,29,,25,28,26,29,,,,,
43_ALP_JG_LNC_TA,10-Sep-11,Nielsen,,GRN,,13,,11,16,10,9,18,,14,10,,11,14,,19,15,15,7,,,,,
43_ALP_JG_LNC_TA,13-Aug-11,Nielsen,,IND,,6,,7,5,7,8,4,,5,8,,8,5,,2,7,7,7,,,,,
43_ALP_JG_LNC_TA,13-Aug-11,Nielsen,,FFP,,2,,2,3,2,3,3,,3,2,,2,2,,4,3,2,1,,,,,
43_ALP_JG_LNC_TA,13-Aug-11,Nielsen,,COAL,,48,,47,40,55,52,54,,44,54,,50,46,,42,44,49,52,,,,,
43_ALP_JG_LNC_TA,13-Aug-11,Nielsen,,OTH,,3,,5,3,3,3,3,,4,3,,4,3,,4,4,5,2,,,,,
43_ALP_JG_LNC_TA,13-Aug-11,Nielsen,,ALP,,28,,25,35,25,26,31,,29,26,,26,30,,26,29,29,29,,,,,
43_ALP_JG_LNC_TA,13-Aug-11,Nielsen,,GRN,,12,,15,14,8,8,5,,14,8,,10,13,,21,14,9,8,,,,,
43_ALP_JG_LNC_TA,16-Jul-11,Nielsen,,IND,,6,,6,4,7,9,4,,5,7,,6,6,,5,5,7,5,,,,,
43_ALP_JG_LNC_TA,16-Jul-11,Nielsen,,FFP,,2,,<0.5,3,3,2,1,,1,2,,1,2,,2,3,1,1,,,,,
43_ALP_JG_LNC_TA,16-Jul-11,Nielsen,,COAL,,51,,50,47,56,53,53,,50,53,,53,50,,46,47,50,57,,,,,
43_ALP_JG_LNC_TA,16-Jul-11,Nielsen,,OTH,,5,,5,4,5,4,7,,4,6,,6,3,,3,7,4,4,,,,,
43_ALP_JG_LNC_TA,16-Jul-11,Nielsen,,ALP,,26,,26,30,21,27,24,,28,23,,24,28,,24,26,27,27,,,,,
43_ALP_JG_LNC_TA,16-Jul-11,Nielsen,,GRN,,11,,13,13,7,6,11,,11,10,,10,12,,20,12,11,6,,,,,
43_ALP_JG_LNC_TA,30-Jun-11,Newspoll,,COAL,,45,,45,42,48,42,49,,43,47,,48,42,,,,,,,39,45,49,
43_ALP_JG_LNC_TA,30-Jun-11,Newspoll,,OTH,,11,,14,8,11,12,11,,10,14,,12,11,,,,,,,13,11,10,
43_ALP_JG_LNC_TA,30-Jun-11,Newspoll,,ALP,,32,,30,37,31,34,27,,34,29,,30,34,,,,,,,30,32,33,
43_ALP_JG_LNC_TA,30-Jun-11,Newspoll,,GRN,,12,,11,13,10,12,13,,13,10,,10,13,,,,,,,18,12,8,
43_ALP_JG_LNC_TA,16-Jun-11,Nielsen,,IND,,4,,5,2,6,4,4,,3,7,,5,4,,2,3,7,5,,,,,
43_ALP_JG_LNC_TA,16-Jun-11,Nielsen,,FFP,,3,,2,2,4,5,3,,3,3,,2,3,,7,4,2,<0.5,,,,,
43_ALP_JG_LNC_TA,16-Jun-11,Nielsen,,OTH,,5,,5,5,4,4,5,,4,6,,5,4,,5,6,4,3,,,,,
43_ALP_JG_LNC_TA,16-Jun-11,Nielsen,,COAL,,49,,51,45,54,47,51,,48,50,,51,46,,28,50,50,55,,,,,
43_ALP_JG_LNC_TA,16-Jun-11,Nielsen,,ALP,,27,,26,30,22,30,24,,28,25,,26,28,,34,22,25,30,,,,,
43_ALP_JG_LNC_TA,16-Jun-11,Nielsen,,GRN,,12,,12,16,10,9,14,,15,9,,10,15,,24,15,12,6,,,,,
43_ALP_JG_LNC_TA,14-May-11,Nielsen,,OTH,,5,,6,3,4,4,6,,5,4,,5,4,,5,7,4,3,,,,,
43_ALP_JG_LNC_TA,14-May-11,Nielsen,,IND,,6,,8,4,6,7,5,,5,7,,6,7,,1,5,7,8,,,,,
43_ALP_JG_LNC_TA,14-May-11,Nielsen,,FFP,,2,,1,2,2,4,4,,2,1,,2,2,,3,4,1,1,,,,,
43_ALP_JG_LNC_TA,14-May-11,Nielsen,,COAL,,47,,48,47,49,45,39,,45,49,,51,42,,40,42,45,54,,,,,
43_ALP_JG_LNC_TA,14-May-11,Nielsen,,ALP,,31,,28,34,31,30,35,,33,29,,29,33,,34,30,33,29,,,,,
43_ALP_JG_LNC_TA,14-May-11,Nielsen,,GRN,,10,,9,10,7,11,12,,10,9,,8,11,,17,12,9,5,,,,,
43_ALP_JG_LNC_TA,10-May-11,Nielsen,,OTH,,4,,5,3,4,3,4,,3,4,,3,4,,4,4,4,3,,,,,
43_ALP_JG_LNC_TA,10-May-11,Nielsen,,ALP,,28,,25,40,18,24,25,,30,24,,25,30,,33,30,25,26,,,,,
43_ALP_JG_LNC_TA,10-May-11,Nielsen,,COAL,,49,,53,39,56,47,53,,49,48,,54,44,,34,45,50,57,,,,,
43_ALP_JG_LNC_TA,10-May-11,Nielsen,,IND,,5,,5,4,8,16,6,,5,6,,6,5,,4,6,6,5,,,,,
43_ALP_JG_LNC_TA,10-May-11,Nielsen,,FFP,,3,,1,4,3,4,3,,2,4,,3,3,,6,3,3,1,,,,,
43_ALP_JG_LNC_TA,10-May-11,Nielsen,,GRN,,12,,12,11,11,16,9,,11,13,,9,14,,20,12,12,9,,,,,
43_ALP_JG_LNC_TA,16-Apr-11,Nielsen,,OTH,,3,,3,2,2,2,3,,3,2,,3,2,,3,3,2,2,,,,,
43_ALP_JG_LNC_TA,16-Apr-11,Nielsen,,ALP,,31,,27,35,29,36,28,,32,29,,30,32,,31,29,31,32,,,,,
43_ALP_JG_LNC_TA,16-Apr-11,Nielsen,,COAL,,47,,51,46,46,39,50,,48,45,,50,45,,42,43,46,54,,,,,
43_ALP_JG_LNC_TA,16-Apr-11,Nielsen,,IND,,6,,7,2,6,9,4,,4,9,,4,7,,2,5,7,6,,,,,
43_ALP_JG_LNC_TA,16-Apr-11,Nielsen,,FFP,,2,,1,2,4,3,3,,2,3,,2,3,,3,4,2,1,,,,,
43_ALP_JG_LNC_TA,16-Apr-11,Nielsen,,GRN,,12,,11,13,12,11,11,,12,12,,11,12,,19,15,12,6,,,,,
43_ALP_JG_LNC_TA,31-Mar-11,Newspoll,,OTH,,11,,12,7,14,10,8,,8,14,,11,10,,,,,,,10,11,10,
43_ALP_JG_LNC_TA,31-Mar-11,Newspoll,,ALP,,34,,33,36,31,34,35,,34,33,,34,34,,,,,,,32,36,34,
43_ALP_JG_LNC_TA,31-Mar-11,Newspoll,,COAL,,42,,43,41,43,40,44,,43,42,,43,41,,,,,,,36,38,49,
43_ALP_JG_LNC_TA,31-Mar-11,Newspoll,,GRN,,13,,12,16,12,16,13,,15,11,,12,15,,,,,,,22,15,7,
43_ALP_JG_LNC_TA,12-Mar-11,Nielsen,,OTH,,3,,3,3,4,2,4,,3,4,,4,2,,4,3,3,3,,,,,
43_ALP_JG_LNC_TA,12-Mar-11,Nielsen,,ALP,,33,,29,38,31,37,36,,35,29,,31,35,,35,32,36,30,,,,,
43_ALP_JG_LNC_TA,12-Mar-11,Nielsen,,COAL,,45,,48,40,47,45,46,,44,47,,47,44,,38,38,44,55,,,,,
43_ALP_JG_LNC_TA,12-Mar-11,Nielsen,,IND,,5,,6,4,5,4,1,,3,7,,5,4,,3,4,5,5,,,,,
43_ALP_JG_LNC_TA,12-Mar-11,Nielsen,,FFP,,2,,1,3,3,3,2,,1,3,,2,2,,1,5,1,1,,,,,
43_ALP_JG_LNC_TA,12-Mar-11,Nielsen,,GRN,,12,,14,12,10,8,10,,13,10,,11,12,,18,17,11,6,,,,,
43_ALP_JG_LNC_TA,12-Feb-11,Nielsen,,OTH,,3,,3,3,4,5,3,,4,3,,4,3,,7,5,3,1,,,,,
43_ALP_JG_LNC_TA,12-Feb-11,Nielsen,,ALP,,32,,31,37,28,33,27,,34,28,,31,32,,40,31,26,34,,,,,
43_ALP_JG_LNC_TA,12-Feb-11,Nielsen,,COAL,,46,,48,43,51,42,48,,45,48,,45,48,,26,44,50,53,,,,,
43_ALP_JG_LNC_TA,12-Feb-11,Nielsen,,IND,,4,,5,3,6,7,1,,3,7,,5,4,,2,3,7,4,,,,,
43_ALP_JG_LNC_TA,12-Feb-11,Nielsen,,FFP,,2,,1,1,3,3,2,,1,2,,1,2,,2,2,2,1,,,,,
43_ALP_JG_LNC_TA,12-Feb-11,Nielsen,,GRN,,12,,11,13,8,10,8,,13,12,,13,12,,22,15,12,6,,,,,
43_ALP_JG_LNC_TA,31-Dec-10,Newspoll,,OTH,,10,,10,7,13,11,11,,8,13,,10,10,,,,,,,11,11,9,
43_ALP_JG_LNC_TA,31-Dec-10,Newspoll,,ALP,,34,,34,37,34,35,30,,35,33,,34,36,,,,,,,32,37,34,
43_ALP_JG_LNC_TA,31-Dec-10,Newspoll,,COAL,,42,,44,39,41,41,46,,41,43,,43,40,,,,,,,36,37,39,
43_ALP_JG_LNC_TA,31-Dec-10,Newspoll,,GRN,,14,,12,17,12,13,13,,16,11,,13,14,,,,,,,21,15,8,
43_ALP_JG_LNC_TA,20-Nov-10,Nielsen,,OTH,,3,,3,3,4,2,2,,3,3,,3,3,,5,4,2,2,,,,,
43_ALP_JG_LNC_TA,20-Nov-10,Nielsen,,ALP,,35,,33,37,34,35,32,,34,37,,34,36,,37,37,36,32,,,,,
43_ALP_JG_LNC_TA,20-Nov-10,Nielsen,,GRN,,13,,13,16,9,14,15,,15,11,,13,13,,25,17,10,7,,,,,
43_ALP_JG_LNC_TA,20-Nov-10,Nielsen,,COAL,,43,,47,40,45,41,46,,44,42,,43,43,,29,36,43,54,,,,,
43_ALP_JG_LNC_TA,20-Nov-10,Nielsen,,IND,,4,,4,3,6,7,3,,4,5,,5,3,,2,3,6,4,,,,,
43_ALP_JG_LNC_TA,20-Nov-10,Nielsen,,FFP,,1,,<0.5,2,2,2,2,,1,1,,1,2,,1,2,2,1,,,,,
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,OTH,,2,,3,2,3,3,1,,2,3,,3,2,,3,5,2,1,,,,,
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,ALP,,34,,29,38,36,38,34,,35,34,,33,35,,30,34,37,34,,,,,
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,GRN,,14,,11,18,9,20,14,,15,12,,12,16,,21,16,15,8,,,,,
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,COAL,,43,,50,36,45,33,49,,43,43,,45,42,,40,41,40,50,,,,,
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,IND,,4,,6,3,5,3,1,,3,7,,6,3,,3,3,5,6,,,,,
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,FFP,,2,,<0.5,2,2,4,1,,1,2,,1,2,,2,2,1,1,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,GRN,,13,,12,17,11,13,13,,,,,,,,,,,,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,ALP,,39,,39,41,37,36,33,,41,34,,36,41,,36,41,37,39,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,COAL,,41.5,,42,35,45,43,50,,38,46,,43,40,,28,37,46,47,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,DEM,,1,,1,1,0,1,0,,1,1,,1,1,,0.5,1,0.5,1,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,GRN,,13,,12,17,11,13,13,,14,12,,13,13,,29,15,9,10,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,IND,,2,,3,2,2,3,1,,2,3,,3,2,,2,2,4,1,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,FFP,,1.5,,1,2,1,3,1,,2,1,,2,1,,1,2,1,2,,,,,
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,OTH,,2,,3,1,4,0,1,,2,3,,3,2,,3,3,3,1,,,,,
42_ALP_JG_LNC_TA,15-Aug-10,Newspoll,,ALP,,38,,39,41,35,43,31,,38,38,,36,40,,,,,,,35,42,37,
42_ALP_JG_LNC_TA,15-Aug-10,Newspoll,,GRN,,14,,13,14,13,12,14,,14,13,,12,15,,,,,,,19,15,9,
42_ALP_JG_LNC_TA,15-Aug-10,Newspoll,,COAL,,42,,41,40,43,37,51,,43,40,,45,39,,,,,,,38,38,48,
42_ALP_JG_LNC_TA,12-Aug-10,Nielsen,,GRN,,12,,13,14,9,12,13,,14,10,,10,15,,19,15,12,9,,,,,
42_ALP_JG_LNC_TA,08-Aug-10,Newspoll,,ALP,,38,,39,41,35,44,28,,38,38,,36,39,,,,,,,36,43,36,
42_ALP_JG_LNC_TA,08-Aug-10,Newspoll,,GRN,,12,,11,15,10,11,14,,14,11,,11,14,,,,,,,17,15,8,
42_ALP_JG_LNC_TA,08-Aug-10,Newspoll,,COAL,,43,,43,39,46,39,52,,42,43,,45,42,,,,,,,38,38,50,
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,GRN,,13,,11,16,14,15,9,,14,13,,13,14,,20,14,15,9,,,,,
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,ALP,,36,,40,39,26,44,30,,38,34,,32,40,,35,37,37,35,,,,,
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,COAL,,44,,43,41,49,33,59,,43,45,,49,40,,35,44,40,50,,,,,
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,IND,,2,,3,1,6,2,0,,2,3,,2,3,,2,2,4,2,,,,,
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,FFP,,1,,0,2,3,3,0,,1,2,,1,2,,2,0,2,1,,,,,
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,OTH,,3,,4,3,1,3,3,,3,3,,3,2,,5,3,2,3,,,,,
42_ALP_JG_LNC_TA,01-Aug-10,Newspoll,,ALP,,39,,38,42,36,46,33,,38,39,,37,40,,,,,,,38,43,37,
42_ALP_JG_LNC_TA,01-Aug-10,Newspoll,,GRN,,12,,10,17,9,9,15,,15,8,,11,13,,,,,,,17,12,8,
42_ALP_JG_LNC_TA,01-Aug-10,Newspoll,,COAL,,43,,45,36,48,38,47,,41,46,,45,41,,,,,,,37,40,49,
42_ALP_JG_LNC_TA,29-Jul-10,Nielsen,,ALP,,36,,33,40,37,36,34,,38,33,,35,36,,39,37,39,31,,,,,
42_ALP_JG_LNC_TA,29-Jul-10,Nielsen,,COAL,,45,,50,40,41,48,55,,43,49,,46,45,,29,42,41,57,,,,,
42_ALP_JG_LNC_TA,29-Jul-10,Nielsen,,GRN,,12,,10,15,12,10,8,,13,11,,11,13,,26,13,11,8,,,,,
